neural_network.py 

k = 50
lr = 0.005
num_epoch = 50

Epoch: 42 	Training Cost: 4376.043945	 Valid Acc: 0.6831780976573525
Epoch: 43 	Training Cost: 4357.643066	 Valid Acc: 0.6830369743155518
Epoch: 44 	Training Cost: 4339.384766	 Valid Acc: 0.6823313576065482
Epoch: 45 	Training Cost: 4321.267090	 Valid Acc: 0.6823313576065482
Epoch: 46 	Training Cost: 4303.289551	 Valid Acc: 0.6819079875811459
Epoch: 47 	Training Cost: 4285.451660	 Valid Acc: 0.6820491109229466
Epoch: 48 	Training Cost: 4267.751465	 Valid Acc: 0.6819079875811459
Epoch: 49 	Training Cost: 4250.188477	 Valid Acc: 0.6824724809483489
Lambda: 0.1 	Validation Acc: 0.682472	Test Acc: 0.676263
----------------------------------------------------------------------
Epoch: 0 	Training Cost: 7578.692383	 Valid Acc: 0.6824724809483489
Epoch: 1 	Training Cost: 7581.209473	 Valid Acc: 0.6820491109229466
Epoch: 2 	Training Cost: 7583.861328	 Valid Acc: 0.6820491109229466
Epoch: 3 	Training Cost: 7586.644531	 Valid Acc: 0.6817668642393452
Epoch: 4 	Training Cost: 7589.552734	 Valid Acc: 0.6819079875811459
Epoch: 5 	Training Cost: 7592.587891	 Valid Acc: 0.6817668642393452
Epoch: 6 	Training Cost: 7595.748047	 Valid Acc: 0.6812023708721423
Epoch: 7 	Training Cost: 7599.028320	 Valid Acc: 0.6816257408975445
Epoch: 8 	Training Cost: 7602.437500	 Valid Acc: 0.6812023708721423
Epoch: 9 	Training Cost: 7605.958496	 Valid Acc: 0.6810612475303415
Epoch: 10 	Training Cost: 7609.601562	 Valid Acc: 0.6804967541631386
Epoch: 11 	Training Cost: 7613.365234	 Valid Acc: 0.6802145074795372
Epoch: 12 	Training Cost: 7617.245117	 Valid Acc: 0.6802145074795372
Epoch: 13 	Training Cost: 7621.234375	 Valid Acc: 0.6795088907705334
Epoch: 14 	Training Cost: 7625.338867	 Valid Acc: 0.6793677674287327
