neural_network.py 

k = 50
lr = 0.005
num_epoch = 40
==========================WITHOUT REGULARIZER=========================
Epoch: 24 	Training Cost: 5482.186523	 Valid Acc: 0.6762630539091166
Epoch: 25 	Training Cost: 5455.302734	 Valid Acc: 0.6762630539091166
Epoch: 26 	Training Cost: 5428.632812	 Valid Acc: 0.6756985605419137
Epoch: 27 	Training Cost: 5402.174316	 Valid Acc: 0.6759808072255151
Epoch: 28 	Training Cost: 5375.925293	 Valid Acc: 0.6761219305673158
Epoch: 29 	Training Cost: 5349.883789	 Valid Acc: 0.67499294383291
Epoch: 30 	Training Cost: 5324.046387	 Valid Acc: 0.6747106971493085
Epoch: 31 	Training Cost: 5298.412109	 Valid Acc: 0.6745695738075078
Epoch: 32 	Training Cost: 5272.977051	 Valid Acc: 0.674428450465707
Epoch: 33 	Training Cost: 5247.739746	 Valid Acc: 0.674428450465707
Epoch: 34 	Training Cost: 5222.696289	 Valid Acc: 0.674428450465707
Epoch: 35 	Training Cost: 5197.845703	 Valid Acc: 0.6741462037821055
Epoch: 36 	Training Cost: 5173.185059	 Valid Acc: 0.6741462037821055
Epoch: 37 	Training Cost: 5148.713867	 Valid Acc: 0.6740050804403048
Epoch: 38 	Training Cost: 5124.430664	 Valid Acc: 0.6741462037821055
Epoch: 39 	Training Cost: 5100.339844	 Valid Acc: 0.6741462037821055
Lambda: 0.1 	Validation Acc: 0.674146	Test Acc: 0.675134
----------------------------------------------------------------------
Epoch: 0 	Training Cost: 7621.029297	 Valid Acc: 0.6742873271239063
Epoch: 1 	Training Cost: 7616.908203	 Valid Acc: 0.6745695738075078
Epoch: 2 	Training Cost: 7612.993164	 Valid Acc: 0.6741462037821055
Epoch: 3 	Training Cost: 7609.280762	 Valid Acc: 0.6737228337567034
Epoch: 4 	Training Cost: 7605.763672	 Valid Acc: 0.6737228337567034
Epoch: 5 	Training Cost: 7602.440430	 Valid Acc: 0.6735817104149027
Epoch: 6 	Training Cost: 7599.313477	 Valid Acc: 0.6737228337567034
Epoch: 7 	Training Cost: 7596.375000	 Valid Acc: 0.6737228337567034
Epoch: 8 	Training Cost: 7593.623047	 Valid Acc: 0.6740050804403048
Epoch: 9 	Training Cost: 7591.057617	 Valid Acc: 0.6741462037821055
Epoch: 10 	Training Cost: 7588.677734	 Valid Acc: 0.6740050804403048
Epoch: 11 	Training Cost: 7586.474121	 Valid Acc: 0.674428450465707
Epoch: 12 	Training Cost: 7584.450684	 Valid Acc: 0.6742873271239063
Epoch: 13 	Training Cost: 7582.601562	 Valid Acc: 0.6735817104149027
Epoch: 14 	Training Cost: 7580.932617	 Valid Acc: 0.6735817104149027
Epoch: 15 	Training Cost: 7579.430664	 Valid Acc: 0.6730172170476997
Epoch: 16 	Training Cost: 7578.099609	 Valid Acc: 0.6721704769968952
Epoch: 17 	Training Cost: 7576.941895	 Valid Acc: 0.6721704769968952
Epoch: 18 	Training Cost: 7575.946289	 Valid Acc: 0.6718882303132938
Epoch: 19 	Training Cost: 7575.120605	 Valid Acc: 0.6713237369460909
Epoch: 20 	Training Cost: 7574.451172	 Valid Acc: 0.6711826136042901
Epoch: 21 	Training Cost: 7573.948730	 Valid Acc: 0.6709003669206887
Epoch: 22 	Training Cost: 7573.610840	 Valid Acc: 0.6707592435788879
Epoch: 23 	Training Cost: 7573.426758	 Valid Acc: 0.6700536268698842
Epoch: 24 	Training Cost: 7573.402344	 Valid Acc: 0.6706181202370872
Epoch: 25 	Training Cost: 7573.536133	 Valid Acc: 0.6709003669206887
